127.0.0.1 - - [23/Feb/2022:11:35:28 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:33 +0900] "GET /covid/ HTTP/1.1" 200 9841
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:33 +0900] "GET /covid/common/loginForm HTTP/1.1" 200 4747
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:33 +0900] "GET /covid/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:33 +0900] "GET /covid/resources/css/bg.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:35 +0900] "POST /covid/common/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:35 +0900] "GET /covid/common/set-session HTTP/1.1" 200 10421
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:35 +0900] "GET /covid/indexPage?mCode=M040000 HTTP/1.1" 200 12576
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:35 +0900] "GET /covid/common/loading HTTP/1.1" 200 10140
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:35 +0900] "GET /covid/hspt/main HTTP/1.1" 200 60385
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:35 +0900] "POST /covid/rest-hspt/main-chart HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:35 +0900] "POST /covid/rest-hspt/req-inptnt-list HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:35 +0900] "POST /covid/rest-hspt/dgnss-list HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:35 +0900] "POST /covid/rest-hspt/sckbdreq-list HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:35 +0900] "POST /covid/rest-hspt/main-sckbdCountAndStats HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [23/Feb/2022:11:35:36 +0900] "POST /covid/rest-hspt/inptnt-list HTTP/1.1" 200 1570
