0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:12 +0900] "POST /covid/rest-hspt/dgnss-detail HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:13 +0900] "POST /covid/rest-hspt/dgnss-detail HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:13 +0900] "POST /covid/rest-hspt/dgnss-detail HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:15 +0900] "GET /covid/hspt/inptnt-list HTTP/1.1" 200 31507
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:15 +0900] "GET /covid/rest-hspt/inptnt-list?page=1&perPageNum=&searchType=&keyword= HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:16 +0900] "POST /covid/rest-hspt/inptnt-detail HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:41:17 +0900] "POST /covid/rest-hspt/inptnt-detail HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:08 +0900] "GET /covid/indexPage?mCode=M040200 HTTP/1.1" 200 10401
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:08 +0900] "GET /covid/common/loading HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:08 +0900] "GET /covid/hspt/inptnt-list HTTP/1.1" 200 31161
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:08 +0900] "GET /covid/rest-hspt/inptnt-list?page=1&perPageNum=&searchType=&keyword= HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:12 +0900] "GET /covid/hspt/inptnt-list HTTP/1.1" 200 31161
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:12 +0900] "GET /covid/rest-hspt/inptnt-list?page=1&perPageNum=&searchType=&keyword= HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:39 +0900] "GET /covid/indexPage?mCode=M040200 HTTP/1.1" 200 10401
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:39 +0900] "GET /covid/common/loading HTTP/1.1" 200 3221
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:39 +0900] "GET /covid/hspt/inptnt-list HTTP/1.1" 200 31178
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:39 +0900] "GET /covid/rest-hspt/inptnt-list?page=1&perPageNum=&searchType=&keyword= HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:46 +0900] "GET /covid/hspt/inptnt-list HTTP/1.1" 200 31178
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:46 +0900] "GET /covid/rest-hspt/inptnt-list?page=1&perPageNum=&searchType=&keyword= HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:48 +0900] "GET /covid/hspt/req-inptnt-list HTTP/1.1" 200 19522
